nome,dt_nascimento,obs_bio
Philip K. Dick,1949-06-28,autor americano conhecido por livros de ficçao cientifica
Willian Gibson,1948-03-17,autor canadense conhecido pela serie Sprawl
Isaac Asimov,1920-04-06,autor russo conhecido por livros de ficçao cientifica
George Orwell,1903-06-25,autor inglês conhecido por escrever 1984
Robert Spencer,1962-08-28,autor americano conhecido por ser anti-islam
G. K. Chesterton,1874-05-29,autor ingles e filosofo conhecido por ensaios sobre o mundo moderno
Ion Mihai Pacepa,1928-10-28,ex-general tres estrelas da Securitate que desertou da uniao sovietica
Ronald J. Rychlak,1957-09-23,Advogado e jurista americano
J. K. Rowling,1980-06-02,autora inglesa conhecida por escrever a serie Harry Potter 
Fernando Pessoa,1888-06-13,um dos maiores nomes da poesia portuguesa
Akira Toriyama,1955-04-05,autor japones conhecido pela serie dragon ball
Fiodor Dostoievski,1821-11-11,escritor e filosofo russo
